squareCoordinates upper-left corner

square:0, x:0, y:0
square:177, x:878, y:162
square:178, x:910, y:162
square:179, x:943, y:162
square:180, x:0, y:195
square:181, x:32, y:195
square:182, x:65, y:195
square:183, x:97, y:195
square:184, x:130, y:195
square:185, x:162, y:195
square:186, x:195, y:195
square:187, x:227, y:195
square:188, x:260, y:195
square:189, x:292, y:195
square:190, x:325, y:195
square:191, x:357, y:195
square:192, x:390, y:195
square:193, x:422, y:195
square:194, x:455, y:195
square:195, x:488, y:195
square:196, x:520, y:195
square:197, x:553, y:195
square:198, x:585, y:195
square:199, x:618, y:195
square:200, x:650, y:195
square:201, x:683, y:195
square:202, x:715, y:195
square:203, x:748, y:195
square:204, x:780, y:195
square:205, x:813, y:195
square:206, x:845, y:195
square:207, x:878, y:195
square:208, x:910, y:195
square:209, x:943, y:195
square:210, x:0, y:227
square:211, x:32, y:227
square:212, x:65, y:227
square:213, x:97, y:227
square:214, x:130, y:227
square:215, x:162, y:227
square:216, x:195, y:227
square:217, x:227, y:227
square:218, x:260, y:227
square:219, x:292, y:227
square:220, x:325, y:227
square:221, x:357, y:227
square:222, x:390, y:227
square:223, x:422, y:227
square:224, x:455, y:227
square:225, x:488, y:227
square:226, x:520, y:227
square:227, x:553, y:227
square:228, x:585, y:227
square:229, x:618, y:227
square:230, x:650, y:227
square:231, x:683, y:227
square:232, x:715, y:227
square:233, x:748, y:227
square:234, x:780, y:227
square:235, x:813, y:227
square:236, x:845, y:227
square:237, x:878, y:227
square:238, x:910, y:227
square:239, x:943, y:227
square:240, x:0, y:260
square:241, x:32, y:260
square:242, x:65, y:260
square:243, x:97, y:260
square:244, x:130, y:260
square:245, x:162, y:260
square:246, x:195, y:260
square:247, x:227, y:260
square:248, x:260, y:260
square:249, x:292, y:260
square:250, x:325, y:260
square:251, x:357, y:260
square:252, x:390, y:260
square:253, x:422, y:260
square:254, x:455, y:260
square:255, x:488, y:260
square:256, x:520, y:260
square:257, x:553, y:260
square:258, x:585, y:260
square:259, x:618, y:260
square:260, x:650, y:260
square:261, x:683, y:260
square:262, x:715, y:260
square:263, x:748, y:260
square:264, x:780, y:260
square:265, x:813, y:260
square:266, x:845, y:260
square:267, x:878, y:260
square:268, x:910, y:260
square:269, x:943, y:260
square:270, x:0, y:292
square:271, x:32, y:292
square:272, x:65, y:292
square:273, x:97, y:292
square:274, x:130, y:292
square:275, x:162, y:292
square:276, x:195, y:292
square:277, x:227, y:292
square:278, x:260, y:292
square:279, x:292, y:292
square:280, x:325, y:292
square:281, x:357, y:292
square:282, x:390, y:292
square:283, x:422, y:292
square:284, x:455, y:292
square:285, x:488, y:292
square:286, x:520, y:292
square:287, x:553, y:292
square:288, x:585, y:292
square:289, x:618, y:292
square:290, x:650, y:292
square:291, x:683, y:292
square:292, x:715, y:292
square:293, x:748, y:292
square:294, x:780, y:292
square:295, x:813, y:292
square:296, x:845, y:292
square:297, x:878, y:292
square:298, x:910, y:292
square:299, x:943, y:292
square:300, x:0, y:325
square:301, x:32, y:325
square:302, x:65, y:325
square:303, x:97, y:325
square:304, x:130, y:325
square:305, x:162, y:325
square:306, x:195, y:325
square:307, x:227, y:325
square:308, x:260, y:325
square:309, x:292, y:325
square:310, x:325, y:325
square:311, x:357, y:325
square:312, x:390, y:325
square:313, x:422, y:325
square:314, x:455, y:325
square:315, x:488, y:325
square:316, x:520, y:325
square:317, x:553, y:325
square:318, x:585, y:325
square:319, x:618, y:325
square:320, x:650, y:325
square:321, x:683, y:325
square:322, x:715, y:325
square:323, x:748, y:325
square:324, x:780, y:325
square:325, x:813, y:325
square:326, x:845, y:325
square:327, x:878, y:325
square:328, x:910, y:325
square:329, x:943, y:325
square:330, x:0, y:357
square:331, x:32, y:357
square:332, x:65, y:357
square:333, x:97, y:357
square:334, x:130, y:357
square:335, x:162, y:357
square:336, x:195, y:357
square:337, x:227, y:357
square:338, x:260, y:357
square:339, x:292, y:357
square:340, x:325, y:357
square:341, x:357, y:357
square:342, x:390, y:357
square:343, x:422, y:357
square:344, x:455, y:357
square:345, x:488, y:357
square:346, x:520, y:357
square:347, x:553, y:357
square:348, x:585, y:357
square:349, x:618, y:357
square:350, x:650, y:357
square:351, x:683, y:357
square:352, x:715, y:357
square:353, x:748, y:357
square:354, x:780, y:357
square:355, x:813, y:357
square:356, x:845, y:357
square:357, x:878, y:357
square:358, x:910, y:357
square:359, x:943, y:357
square:360, x:0, y:390
square:361, x:32, y:390
square:362, x:65, y:390
square:363, x:97, y:390
square:364, x:130, y:390
square:365, x:162, y:390
square:366, x:195, y:390
square:367, x:227, y:390
square:368, x:260, y:390
square:369, x:292, y:390
square:370, x:325, y:390
square:371, x:357, y:390
square:372, x:390, y:390
square:373, x:422, y:390
square:374, x:455, y:390
square:375, x:488, y:390
square:376, x:520, y:390
square:377, x:553, y:390
square:378, x:585, y:390
square:379, x:618, y:390
square:380, x:650, y:390
square:381, x:683, y:390
square:382, x:715, y:390
square:383, x:748, y:390
square:384, x:780, y:390
square:385, x:813, y:390
square:386, x:845, y:390
square:387, x:878, y:390
square:388, x:910, y:390
square:389, x:943, y:390
square:390, x:0, y:422
square:391, x:32, y:422
square:392, x:65, y:422
square:393, x:97, y:422
square:394, x:130, y:422
square:395, x:162, y:422
square:396, x:195, y:422
square:397, x:227, y:422
square:398, x:260, y:422
square:399, x:292, y:422
square:400, x:325, y:422
square:401, x:357, y:422
square:402, x:390, y:422
square:403, x:422, y:422
square:404, x:455, y:422
square:405, x:488, y:422
square:406, x:520, y:422
square:407, x:553, y:422
square:408, x:585, y:422
square:409, x:618, y:422
square:410, x:650, y:422
square:411, x:683, y:422
square:412, x:715, y:422
square:413, x:748, y:422
square:414, x:780, y:422
square:415, x:813, y:422
square:416, x:845, y:422
square:417, x:878, y:422
square:418, x:910, y:422
square:419, x:943, y:422
square:420, x:0, y:455
square:421, x:32, y:455
square:422, x:65, y:455
square:423, x:97, y:455
square:424, x:130, y:455
square:425, x:162, y:455
square:426, x:195, y:455
square:427, x:227, y:455
square:428, x:260, y:455
square:429, x:292, y:455
square:430, x:325, y:455
square:431, x:357, y:455
square:432, x:390, y:455
square:433, x:422, y:455
square:434, x:455, y:455
square:435, x:488, y:455
square:436, x:520, y:455
square:437, x:553, y:455
square:438, x:585, y:455
square:439, x:618, y:455
square:440, x:650, y:455
square:441, x:683, y:455
square:442, x:715, y:455
square:443, x:748, y:455
square:444, x:780, y:455
square:445, x:813, y:455
square:446, x:845, y:455
square:447, x:878, y:455
square:448, x:910, y:455
square:449, x:943, y:455
square:450, x:0, y:487
square:451, x:32, y:487
square:452, x:65, y:487
square:453, x:97, y:487
square:454, x:130, y:487
square:455, x:162, y:487
square:456, x:195, y:487
square:457, x:227, y:487
square:458, x:260, y:487
square:459, x:292, y:487
square:460, x:325, y:487
square:461, x:357, y:487
square:462, x:390, y:487
square:463, x:422, y:487
square:464, x:455, y:487
square:465, x:488, y:487
square:466, x:520, y:487
square:467, x:553, y:487
square:468, x:585, y:487
square:469, x:618, y:487
square:470, x:650, y:487
square:471, x:683, y:487
square:472, x:715, y:487
square:473, x:748, y:487
square:474, x:780, y:487
square:475, x:813, y:487
square:476, x:845, y:487
square:477, x:878, y:487
square:478, x:910, y:487
square:479, x:943, y:487
